#GeneID	TF_ID
ENSMUSG00000025178	ENSMUSG00000049672
ENSMUSG00000026077	ENSMUSG00000049672
ENSMUSG00000026116	ENSMUSG00000049672
ENSMUSG00000026238	ENSMUSG00000049672
ENSMUSG00000026277	ENSMUSG00000049672
ENSMUSG00000026504	ENSMUSG00000049672
ENSMUSG00000026815	ENSMUSG00000049672
ENSMUSG00000026869	ENSMUSG00000049672
ENSMUSG00000026933	ENSMUSG00000049672
ENSMUSG00000027351	ENSMUSG00000049672
ENSMUSG00000027654	ENSMUSG00000049672
ENSMUSG00000027660	ENSMUSG00000049672
ENSMUSG00000027942	ENSMUSG00000049672
ENSMUSG00000028433	ENSMUSG00000049672
ENSMUSG00000028849	ENSMUSG00000049672
ENSMUSG00000028906	ENSMUSG00000049672
ENSMUSG00000029030	ENSMUSG00000049672
ENSMUSG00000029060	ENSMUSG00000049672
ENSMUSG00000029328	ENSMUSG00000049672
ENSMUSG00000029407	ENSMUSG00000049672
ENSMUSG00000029814	ENSMUSG00000049672
ENSMUSG00000030521	ENSMUSG00000049672
ENSMUSG00000030701	ENSMUSG00000049672
ENSMUSG00000030779	ENSMUSG00000049672
ENSMUSG00000030805	ENSMUSG00000049672
ENSMUSG00000031171	ENSMUSG00000049672
ENSMUSG00000031220	ENSMUSG00000049672
ENSMUSG00000031309	ENSMUSG00000049672
ENSMUSG00000031422	ENSMUSG00000049672
ENSMUSG00000031516	ENSMUSG00000049672
ENSMUSG00000031540	ENSMUSG00000049672
ENSMUSG00000031667	ENSMUSG00000049672
ENSMUSG00000031736	ENSMUSG00000049672
ENSMUSG00000031865	ENSMUSG00000049672
ENSMUSG00000032122	ENSMUSG00000049672
ENSMUSG00000032212	ENSMUSG00000049672
ENSMUSG00000032267	ENSMUSG00000049672
ENSMUSG00000032349	ENSMUSG00000049672
ENSMUSG00000032352	ENSMUSG00000049672
ENSMUSG00000032402	ENSMUSG00000049672
ENSMUSG00000032556	ENSMUSG00000049672
ENSMUSG00000032560	ENSMUSG00000049672
ENSMUSG00000032637	ENSMUSG00000049672
ENSMUSG00000033318	ENSMUSG00000049672
ENSMUSG00000033382	ENSMUSG00000049672
ENSMUSG00000033417	ENSMUSG00000049672
ENSMUSG00000033569	ENSMUSG00000049672
ENSMUSG00000034247	ENSMUSG00000049672
ENSMUSG00000034297	ENSMUSG00000049672
ENSMUSG00000034501	ENSMUSG00000049672
ENSMUSG00000034614	ENSMUSG00000049672
ENSMUSG00000035354	ENSMUSG00000049672
ENSMUSG00000036241	ENSMUSG00000049672
ENSMUSG00000036737	ENSMUSG00000049672
ENSMUSG00000037104	ENSMUSG00000049672
ENSMUSG00000037458	ENSMUSG00000049672
ENSMUSG00000037772	ENSMUSG00000049672
ENSMUSG00000037814	ENSMUSG00000049672
ENSMUSG00000037894	ENSMUSG00000049672
ENSMUSG00000038095	ENSMUSG00000049672
ENSMUSG00000038482	ENSMUSG00000049672
ENSMUSG00000038797	ENSMUSG00000049672
ENSMUSG00000038970	ENSMUSG00000049672
