# Gene name	miRNA ID
ENSMUSG00000000782	mmu-miR-339-3p
ENSMUSG00000000782	mmu-miR-342-3p
ENSMUSG00000000782	mmu-miR-409-3p
ENSMUSG00000000782	mmu-miR-542-3p
ENSMUSG00000000787	mmu-miR-151-3p
ENSMUSG00000000787	mmu-miR-15a-5p
ENSMUSG00000000787	mmu-miR-188-5p
ENSMUSG00000000787	mmu-miR-200b-3p
ENSMUSG00000000787	mmu-miR-210-5p
ENSMUSG00000000787	mmu-miR-26a-5p
ENSMUSG00000000787	mmu-miR-3058-5p
ENSMUSG00000000787	mmu-miR-342-3p
ENSMUSG00000000787	mmu-miR-361-5p
ENSMUSG00000000787	mmu-miR-362-3p
ENSMUSG00000000787	mmu-miR-363-3p
ENSMUSG00000000787	mmu-miR-410-3p
ENSMUSG00000000787	mmu-miR-429-3p
ENSMUSG00000000787	mmu-miR-466d-5p
ENSMUSG00000000787	mmu-miR-542-3p
ENSMUSG00000000791	mmu-miR-151-3p
ENSMUSG00000000791	mmu-miR-3091-3p
ENSMUSG00000000791	mmu-miR-542-3p
ENSMUSG00000000804	mmu-miR-1198-5p
ENSMUSG00000000804	mmu-miR-152-3p
ENSMUSG00000000804	mmu-miR-381-3p
ENSMUSG00000000804	mmu-miR-409-3p
ENSMUSG00000000804	mmu-miR-411-5p
ENSMUSG00000000804	mmu-miR-450b-5p
ENSMUSG00000000804	mmu-miR-467e-3p
ENSMUSG00000000804	mmu-miR-532-5p
ENSMUSG00000000804	mmu-miR-542-3p
ENSMUSG00000000804	mmu-miR-669f-3p
ENSMUSG00000000804	mmu-miR-93-5p
ENSMUSG00000000811	mmu-miR-151-3p
ENSMUSG00000000811	mmu-miR-450b-5p
ENSMUSG00000000811	mmu-miR-542-3p
ENSMUSG00000000823	mmu-miR-3074-1-3p
ENSMUSG00000000823	mmu-miR-362-3p
ENSMUSG00000000823	mmu-miR-362-5p
ENSMUSG00000000823	mmu-miR-363-5p
ENSMUSG00000000823	mmu-miR-450b-5p
ENSMUSG00000000823	mmu-miR-466n-3p
ENSMUSG00000000823	mmu-miR-501-5p
ENSMUSG00000000826	mmu-miR-151-3p
ENSMUSG00000000826	mmu-miR-188-3p
ENSMUSG00000000826	mmu-miR-188-5p
ENSMUSG00000000826	mmu-miR-3074-1-3p
ENSMUSG00000000826	mmu-miR-339-3p
ENSMUSG00000000826	mmu-miR-34b-3p
ENSMUSG00000000826	mmu-miR-362-3p
ENSMUSG00000000826	mmu-miR-363-3p
ENSMUSG00000000826	mmu-miR-363-5p
ENSMUSG00000000826	mmu-miR-450b-5p
ENSMUSG00000000826	mmu-miR-466d-5p
ENSMUSG00000000826	mmu-miR-466n-3p
ENSMUSG00000000826	mmu-miR-501-5p
ENSMUSG00000000826	mmu-miR-532-3p
ENSMUSG00000000826	mmu-miR-542-3p
ENSMUSG00000000827	mmu-miR-1198-5p
ENSMUSG00000000827	mmu-miR-188-5p
ENSMUSG00000000827	mmu-miR-3074-1-3p
ENSMUSG00000000827	mmu-miR-320-3p
ENSMUSG00000000827	mmu-miR-342-3p
ENSMUSG00000000827	mmu-miR-34b-5p
ENSMUSG00000000827	mmu-miR-450b-5p
ENSMUSG00000000827	mmu-miR-542-3p
ENSMUSG00000000838	mmu-miR-1187
ENSMUSG00000000838	mmu-miR-130b-3p
ENSMUSG00000000838	mmu-miR-151-3p
ENSMUSG00000000838	mmu-miR-152-3p
ENSMUSG00000000838	mmu-miR-155-3p
ENSMUSG00000000838	mmu-miR-188-3p
ENSMUSG00000000838	mmu-miR-188-5p
ENSMUSG00000000838	mmu-miR-200b-3p
ENSMUSG00000000838	mmu-miR-20a-3p
ENSMUSG00000000838	mmu-miR-221-3p
ENSMUSG00000000838	mmu-miR-24-2-5p
