Protein	Ratio_0	Ratio_2	Ratio_6	Ratio_12	Ratio_18	Ratio_24
Cd93	-0.305055	3.515696	-0.827493	1.379435	-1.262368	0.570762
Cd97	0.561589	2.097626	0.265801	-0.114278	2.858077	2.332080
Cdan1	-0.077180	1.221580	-1.253202	0.672080	4.100650	-1.147971
Cdc16	0.397339	1.221580	1.113210	0.672080	-1.670092	-1.147971
Cdc37	0.638188	1.465683	-0.230213	1.017749	-0.704443	-0.358241
Cdc42	-0.814030	0.260400	-0.131989	-2.518284	-1.266621	-1.225380
Cdc42bpb	0.984932	-0.092587	-0.570091	1.835379	0.532624	-3.177985
Cdc5l	-0.113048	1.247073	-0.350557	1.667765	0.304928	-0.850398
Cdc73	3.173735	0.213451	0.696803	0.672080	0.064510	-1.731788
Cdca7	-1.824515	4.468890	-1.783320	0.672080	0.064510	-3.498507
Cdipt	-0.463525	1.904406	-0.457252	-2.368360	-5.900191	0.317545
Cdk1	-0.683660	1.077699	0.079241	0.476995	-0.550763	-1.163394
Cdk10	0.984932	1.221580	1.113210	-3.405456	0.928668	-1.147971
Cdk2	0.327089	1.682758	-0.182862	-0.912813	-0.633222	-0.675514
Cdk4	-2.696155	6.642948	-0.600061	4.422351	-2.243948	2.547877
Cdk5rap2	-1.014047	1.767052	-0.385834	-3.690914	-2.801901	1.643500
Cdk6	-0.885954	1.010175	-0.515505	1.033321	-1.096989	-2.319423
Cdk9	0.969945	0.076304	-0.245400	-5.119305	-2.918049	-1.420103
Cdkn2aip	-2.539962	2.974355	1.113210	-3.455839	2.214907	-1.378805
Cdkn2aipnl	-0.252215	1.221580	1.113210	0.672080	0.064510	-1.147971
Cds2	16.817109	9.566386	1.113210	0.672080	4.096302	-1.147971
Cdv3	1.146438	-0.892075	-0.521332	0.275649	-6.569161	-2.374720
Cebpz	-2.500325	1.071324	1.113210	-2.527125	1.305989	-1.147971
Celf2	-0.871447	1.456653	0.012145	1.889539	-1.132412	-0.878537
Cenpv	0.839250	1.360569	-0.679322	3.905472	1.126377	0.552054
Cep55	0.984932	-3.784048	-1.335640	5.944495	-0.190204	-1.841336
Cers2	0.984932	0.438603	-1.550810	0.672080	0.064510	-1.147971
Cetn2	0.984932	-0.025456	0.302161	0.672080	-2.349522	-1.402747
Cfdp1	3.387349	1.221580	1.113210	-5.521294	-2.507324	-1.860794
Cfl1	0.198090	0.375945	-0.646397	-0.216947	-0.392168	-0.842160
Cggbp1	0.742474	-2.627506	1.113210	-8.064109	0.064510	0.532930
Chaf1a	0.984932	1.221580	0.907122	-1.913203	0.064510	-1.147971
Chaf1b	-0.006612	1.162076	-0.424821	-2.981924	-1.101814	0.565057
Chchd2	-0.939363	0.200022	-0.003776	1.527930	0.248247	-1.958636
Chchd3	-0.966645	0.500000	-0.927323	-1.350122	-1.624063	-0.714430
Chchd4	0.984932	-2.950678	10.645972	9.837196	-3.010425	-1.147971
Chchd6	-1.177136	-0.160146	1.113210	-4.233399	1.671944	-1.147971
Chd4	-1.402185	0.274558	-0.478331	-1.092825	-0.027253	-0.156434
Chek1	-0.081647	0.249104	1.113210	-3.528751	3.204423	-1.147971
Chmp4b	-0.174698	0.292357	-0.446194	-1.756423	0.192561	-0.694236
Chordc1	-1.464589	0.645465	-1.224492	-1.078157	-1.194637	0.135545
Chtop	-1.197528	1.438394	-0.652370	-1.084602	-0.014040	-1.121385
Ciapin1	-0.418976	3.206971	-2.897732	-3.995374	1.500217	-1.147971
Cirbp	0.984932	0.773478	-0.928320	0.672080	0.064510	-0.467007
Cirh1a	-0.478155	-1.228508	0.491821	-1.658683	-1.255358	-1.952312
Cisd1	-0.775223	-0.567571	-0.578143	3.797377	-1.525139	-0.093019
